 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
IR     GOES12  20080827  2255   25.94    60.38   868    7.6  115  74.12  0.94
IR     GOES12  20080827  2255   24.35    61.43   887    9.5   89  81.28  0.97
IR     GOES12  20080827  2255   24.03    60.68   850   10.3   88  86.25  0.99
IR     GOES12  20080827  2255   24.07    60.50   850   10.4   89  86.26  0.99
IR     GOES12  20080827  2255   20.79    59.69   337    6.8  286  56.30  0.72
IR     GOES12  20080827  2255   20.76    59.23   237    3.9  180  72.98  0.60
IR     GOES12  20080827  2255   20.34    60.64   250    9.1  176  60.64  0.66
IR     GOES12  20080827  2255   18.94    60.68   300    5.2  317  59.71  0.60
IR     GOES12  20080827  2255   18.76    59.44   187    5.9  167  66.45  0.55
IR     GOES12  20080827  2255   18.66    60.70   300    5.2  317  61.88  0.67
IR     GOES12  20080827  2255   18.40    59.13   162    6.1  115  74.08  0.95
IR     GOES12  20080827  2255   17.63    60.99   237    5.0  205  69.80  0.83
IR     GOES12  20080827  2255   17.89    59.10   162    6.7  103  68.91  0.89
IR     GOES12  20080827  2255   17.58    59.04   175    5.7   78  76.81  0.95
IR     GOES12  20080827  2255   17.31    61.61   175    5.8  309  68.11  0.72
IR     GOES12  20080827  2255   17.04    61.41   175    4.7  313  70.37  0.64
IR     GOES12  20080827  2255   17.33    60.06   137    3.4  134  56.99  0.80
IR     GOES12  20080827  2255   17.50    59.10   175    5.6   80  80.59  0.96
IR     GOES12  20080827  2255   16.68    61.98   175    6.3  323  68.89  0.58
IR     GOES12  20080827  2255   16.48    59.11   212    7.5   40  61.36  0.95
IR     GOES12  20080827  2255   15.98    61.72   175    6.8   20  72.66  0.61
IR     GOES12  20080827  2255   16.11    60.95   175    6.5   12  74.04  0.91
IR     GOES12  20080827  2255   15.96    60.07   175    7.7   56  67.76  1.00
IR     GOES12  20080827  2255   15.81    60.02   162    7.4   55  66.22  1.00
IR     GOES12  20080827  2255   16.17    59.28   200    6.7   39  65.44  0.91
IR     GOES12  20080827  2255   15.63    62.00   187    5.2   18  72.34  0.78
IR     GOES12  20080827  2255   15.60    61.10   175    9.3   20  68.16  0.73
IR     GOES12  20080827  2255   15.68    60.71   137    8.8   34  63.81  0.90
IR     GOES12  20080827  2255   15.61    60.15   162    9.2   44  72.47  0.78
IR     GOES12  20080827  2255   15.55    59.11   237    6.0   69  66.74  0.64
IR     GOES12  20080827  2255   15.06    61.03   162   11.1   27  70.61  0.61
IR     GOES12  20080827  2255   14.84    60.60   175    9.6   34  73.07  0.88
IR     GOES12  20080827  2255   14.06    61.94   137   13.5   46  63.36  0.95
IR     GOES12  20080827  2255   14.27    59.97   237    4.7   55  60.85  0.57
IR     GOES12  20080827  2255   13.87    82.82   187    9.9   67  70.01  0.98
IR     GOES12  20080827  2255   13.64    82.68   187   10.9   60  61.38  0.93
IR     GOES12  20080827  2255   13.52    82.11   225    7.9   65  70.92  0.89
IR     GOES12  20080827  2255   13.52    82.09   225    8.1   66  72.53  0.86
IR     GOES12  20080827  2255   13.71    81.71   187    6.5   85  66.09  0.96
IR     GOES12  20080827  2255   13.63    81.36   162    8.7  102  67.94  0.92
