 type   sat      day     hms     lat     lon     pre   spd   dir
WV11   GOES12  20050825  2245   27.99    94.16   212   18.2   95
WV11   GOES12  20050825  2245   28.09    93.72   137   18.2   94
WV11   GOES12  20050825  2245   28.18    92.84   275   14.4   92
WV11   GOES12  20050825  2245   28.21    90.05   312    7.6   87
WV11   GOES12  20050825  2245   27.82    87.15   275    6.7   87
WV11   GOES12  20050825  2245   27.81    86.50   275    6.4   88
WV11   GOES12  20050825  2245   28.01    85.78   150    9.2  130
WV11   GOES12  20050825  2245   27.90    73.15   312   11.9  344
WV11   GOES12  20050825  2245   27.33    94.24   150   18.1   94
WV11   GOES12  20050825  2245   27.50    92.36   300   14.1   93
WV11   GOES12  20050825  2245   27.37    91.56   287   14.2   93
WV11   GOES12  20050825  2245   27.36    91.12   287   13.0   93
WV11   GOES12  20050825  2245   27.23    90.32   187   11.5  100
WV11   GOES12  20050825  2245   27.31    89.03   262    9.0   96
WV11   GOES12  20050825  2245   27.30    88.48   275    8.0  101
WV11   GOES12  20050825  2245   27.28    87.62   200    6.7   99
WV11   GOES12  20050825  2245   27.38    87.09   275    7.3   91
WV11   GOES12  20050825  2245   26.93    86.29   237    5.2   99
WV11   GOES12  20050825  2245   27.24    85.47   150    8.4  118
WV11   GOES12  20050825  2245   27.36    73.99   300   12.9  352
WV11   GOES12  20050825  2245   27.14    72.13   312    9.2  346
WV11   GOES12  20050825  2245   27.14    72.03   300    8.9  346
WV11   GOES12  20050825  2245   26.55    93.51   312   15.6   82
WV11   GOES12  20050825  2245   26.39    91.38   300   17.6   88
WV11   GOES12  20050825  2245   26.59    90.54   287   16.0  103
WV11   GOES12  20050825  2245   26.69    90.23   262   14.1  103
WV11   GOES12  20050825  2245   26.45    89.44   200   13.5  106
WV11   GOES12  20050825  2245   26.76    88.40   275    7.8  102
WV11   GOES12  20050825  2245   26.52    87.62   200    6.0   96
WV11   GOES12  20050825  2245   26.52    87.30   237    5.4   92
WV11   GOES12  20050825  2245   26.28    86.31   150    4.6   88
WV11   GOES12  20050825  2245   26.38    85.59   150    5.5  104
WV11   GOES12  20050825  2245   26.02    93.63   212   14.2   80
WV11   GOES12  20050825  2245   26.00    93.07   212   14.3   80
WV11   GOES12  20050825  2245   25.87    91.95   287   17.1   86
WV11   GOES12  20050825  2245   25.83    90.42   312   15.7  108
WV11   GOES12  20050825  2245   25.91    89.35   200   14.3  109
WV11   GOES12  20050825  2245   25.79    88.69   287   10.9  103
WV11   GOES12  20050825  2245   25.96    86.06   150    4.9   99
WV11   GOES12  20050825  2245   26.14    94.12   275    8.9   95
WV11   GOES12  20050825  2245   25.68    93.25   212   12.8   81
WV11   GOES12  20050825  2245   25.99    92.54   300   14.7   82
WV11   GOES12  20050825  2245   25.86    91.86   300   17.6   81
WV11   GOES12  20050825  2245   25.74    91.07   300   18.5   83
WV11   GOES12  20050825  2245   25.61    90.19   200   15.6   96
WV11   GOES12  20050825  2245   25.70    89.34   200   15.9  106
WV11   GOES12  20050825  2245   25.80    89.03   200   13.4  109
WV11   GOES12  20050825  2245   25.87    87.13   225    7.6   94
WV11   GOES12  20050825  2245   25.65    86.57   225    8.1   91
