id	description	group	bufrtype	subtype	obstype	codetype	satellite_identifier
8022	FY-2C IR AMV	SATOB	SATOB	AMV	SATOB	AMV	FY-2C
8023	FY-2D IR AMV	SATOB	SATOB	AMV	SATOB	AMV	FY-2D
8024	FY-2E IR AMV	SATOB	SATOB	AMV	SATOB	AMV	FY-2E
8035	NOAA 7 AVHRR AMV	SATOB	SATOB	AMV	SATOB	AMV	NOAA 7
8020	TERRA MODIS AMV	SATOB	SATOB	AMV	SATOB	AMV	TERRA
8021	AQUA MODIS AMV	SATOB	SATOB	AMV	SATOB	AMV	AQUA
8045	COMS-1 AMV 	SATOB	SATOB	AMV	SATOB	AMV	COMS-1
8048	Dual-Metop AMVs	SATOB	SATOB	AMV	SATOB	AMV	Combination of Metop-1 to Metop-3
8047	Leo-Geo AMV	SATOB	SATOB	AMV	SATOB	AMV	Non specific mixture of geostationary and low earth orbiting satellites
8044	GMS-1 AMV	SATOB	SATOB	AMV	SATOB	AMV	GMS
8041	GMS-2 SATOB-AMV	SATOB	SATOB	SATOB AMV	SATOB	SATOB AMV	GMS 2
8054	FY-2G AMVs	SATOB	SATOB	AMV	SATOB	AMV	FY-2G
37008	JASON 3 RALT WAVE	WAVE integrated Parameters	ERS-SSMI-SCAT	JASON-2 RADAR ALTIMETER	WAVE	RALT	JASON 3
37009	Sentinel 3A RALT WAVE	WAVE integrated Parameters	ERS-SSMI-SCAT	SENTINEL 3 RADAR ALTIMETER	WAVE	RALT	Sentinel 3A
8062	Sentinel 3A AMV	SATOB	SATOB	AMV	SATOB	AMV	Sentinel 3A
8057	GOES 16 AMV	SATOB	SATOB	AMV	SATOB	AMV	GOES 16
8060	NOAA 20 AMV	SATOB	SATOB	AMV	SATOB	AMV	NOAA 20
37010	Sentinel 3B RALT WAVE	WAVE integrated Parameters	ERS-SSMI-SCAT	SENTINEL 3 RADAR ALTIMETER	WAVE	RALT	Sentinel 3B
8063	Sentinel 3B AMV	SATOB	SATOB	AMV	SATOB	AMV	Sentinel 3B
8061	GOES 17 AMV	SATOB	SATOB	AMV	SATOB	AMV	GOES 17
38001	Sentinel 1A SAR-C	WAVE spectra	ERS-SSMI-SCAT	Sentinel 1 SAR-C	WAVE	RALT	Sentinel 1A
38002	Sentinel 1B SAR-C	WAVE spectra	ERS-SSMI-SCAT	Sentinel 1 SAR-C	WAVE	RALT	Sentinel 1B
37012	Sentinel 6A RALT WAVE	WAVE integrated Parameters	ERS-SSMI-SCAT	Sentinel 6 RALT WAVE	WAVE	RALT	Sentinel 6A
37013	Sentinel 6B RALT WAVE	WAVE integrated Parameters	ERS-SSMI-SCAT	Sentinel 6 RALT WAVE	WAVE	RALT	Sentinel 6B
8064	Mixed Sentinel AMV	SATOB	SATOB	AMV	SATOB	AMV	Combination of Sentinel-3 satellites
