id	description	group_id	group	bufrtype_id	bufrtype	subtype_id	subtype	obstype_id	obstype	codetype_id	codetype	sensor_id	sensor	satellite_instrument_id	satellite_instrument	satellite_identifier_id	satellite_identifier	accumulation_length
16018	Japanese Wind Profiler	17	CONV	2	Upper Air Sounding	96	Wind Profiler	6	PILOT	131	Japanese Wind Profiler	-1	-1	-1	-1	-1	-1	-1
16019	TEMP SHIP	17	CONV	2	Upper Air Sounding	102	TEMP SHIP	5	TEMP	36	TEMP SHIP	-1	-1	-1	-1	-1	-1	-1
16020	DROP Sonde	17	CONV	2	Upper Air Sounding	103	DROP Sonde	5	TEMP	135	DROP Sonde	-1	-1	-1	-1	-1	-1	-1
16021	Mobile TEMP	17	CONV	2	Upper Air Sounding	106	MOBILE TEMP	5	TEMP	37	MOBILE TEMP	-1	-1	-1	-1	-1	-1	-1
16022	Land TEMP	17	CONV	2	Upper Air Sounding	101	Land TEMP	5	TEMP	35	Land TEMP	-1	-1	-1	-1	-1	-1	-1
16023	ROCOB TEMP	17	CONV	2	Upper Air Sounding	104	ROCOB TEMP	5	TEMP	39	ROCOB TEMP	-1	-1	-1	-1	-1	-1	-1
16024	SHIP ROCOB TEMP	17	CONV	2	Upper Air Sounding	105	SHIP ROCOB TEMP	5	TEMP	40	SHIP ROCOB TEMP	-1	-1	-1	-1	-1	-1	-1
16026	AIREP	17	CONV	4	AIREP	142	AIREP	2	AIREP	141	AIREP	-1	-1	-1	-1	-1	-1	-1
16027	CODAR	17	CONV	4	AIREP	141	AIREP	2	AIREP	41	CODAR	-1	-1	-1	-1	-1	-1	-1
16028	COLBA	17	CONV	4	AIREP	143	COLBA	2	AIREP	241	COLBA	-1	-1	-1	-1	-1	-1	-1
16029	AMDAR	17	CONV	4	AIREP	144	AMDAR	2	AIREP	144	AMDAR	-1	-1	-1	-1	-1	-1	-1
16030	ACARS	17	CONV	4	AIREP	145	ACARS	2	AIREP	145	ACARS	-1	-1	-1	-1	-1	-1	-1
16031	PAOB	17	CONV	253	PAOB	164	PAOB	8	PAOB	180	PAOB	-1	-1	-1	-1	-1	-1	-1
16032	PAOB via Sat code	17	CONV	3	Satellite Sounding	161	PAOB	8	PAOB	180	PAOB	-1	-1	-1	-1	-1	-1	-1
16037	SATEM 500km Low Level Temperature	17	CONV	3	Satellite Sounding	61	500km Low Level Temperature	7	SATEM	86	SATEM	-1	-1	-1	-1	-1	-1	-1
16038	SATEM 500km PWC	17	CONV	3	Satellite Sounding	62	500km PWC	7	SATEM	86	SATEM	-1	-1	-1	-1	-1	-1	-1
16039	SATEM 500km High Level Temperature	17	CONV	3	Satellite Sounding	63	500km High Level Temperature	7	SATEM	86	SATEM	-1	-1	-1	-1	-1	-1	-1
16040	SATEM 500km Merged	17	CONV	3	Satellite Sounding	65	500km Merged	7	SATEM	86	SATEM	-1	-1	-1	-1	-1	-1	-1
16041	SATEM 250km Low Level Temperature	17	CONV	3	Satellite Sounding	71	250km Low Level Temperature	7	SATEM	186	SATEM	-1	-1	-1	-1	-1	-1	-1
16042	SATEM 250km PWC	17	CONV	3	Satellite Sounding	72	250km PWC	7	SATEM	186	SATEM	-1	-1	-1	-1	-1	-1	-1
16043	SATEM 250km High Level Temperature	17	CONV	3	Satellite Sounding	73	250km High Level Temperature	7	SATEM	186	SATEM	-1	-1	-1	-1	-1	-1	-1
16044	SATEM 250km Merged	17	CONV	3	Satellite Sounding	75	250km Merged	7	SATEM	186	SATEM	-1	-1	-1	-1	-1	-1	-1
16084	BUFR DRIFTING BUOYS	17	CONV	1	Sea Surface	182	BUFR DRIFTING BUOYS	4	BUOY	189	BUFR DRIFTING BUOYS	-1	-1	-1	-1	-1	-1	-1
