id	description	group	bufrtype	subtype	obstype	codetype	sensor	satellite_instrument	satellite_identifier	accumulation_length
5025	ERS 2 GOME MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	GOME	GOME	ERS 2	-1
5050	ERS-2 GOME Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	GOME	GOME	ERS 2	-1
9007	METOP-B ASCAT	SCATT	ERS-SSMI-SCAT	ASCAT	Scatterometer	ASCAT	ASCAT	ASCAT	METOP-1 (Metop-B)	-1
25	METOP-B HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/4	METOP-1 (Metop-B)	-1
1009	METOP-B AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	METOP-1 (Metop-B)	-1
3004	METOP-B MHS Radiances	MHS	Satellite Sounding	ATOVS	SATEM	Radiances	MHS	MHS	METOP-1 (Metop-B)	-1
7013	METOP-B GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GRAS	GRAS	METOP-1 (Metop-B)	-1
11002	METOP-B IASI Radiances	IASI	Satellite Sounding	IASI	SATEM	Radiances	IASI	IASI	METOP-1 (Metop-B)	-1
21009	METOP-B AMSUA Radiances All-sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	METOP-1 (Metop-B)	-1
5057	METOP-B GOME-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
35011	METOP-B IASI layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-1 (Metop-B)	-1
44004	MHS METOP-B MHS Radiances All-sky	MHS All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	MHS	MHS	METOP-1 (Metop-B)	-1
5061	METOP-B GOME-2 Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
35012	METOP-B GOME-2 layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
35013	METOP-B GOME-2 layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
5062	METOP-B GOME-2 MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
5072	METOP-B GOME-2 PMAP	RESAT	Satellite Sounding	MODIS aerosol	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-1 (Metop-B)	-1
35017	METOP-B IASI layer volumetric mixing ratio with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer volumetric mixing ratio with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-1 (Metop-B)	-1
5087	METOP-B IASI Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-1 (Metop-B)	-1
15	METOP-A HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/4	METOP-2 (Metop-A)	-1
1007	METOP-A AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	METOP-2 (Metop-A)	-1
3002	METOP-A MHS Radiances	MHS	Satellite Sounding	ATOVS	SATEM	Radiances	MHS	MHS	METOP-2 (Metop-A)	-1
5013	METOP-A GOME-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
7001	METOP-A GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GRAS	GRAS	METOP-2 (Metop-A)	-1
9005	METOP-A ASCAT	SCATT	ERS-SSMI-SCAT	ASCAT	Scatterometer	ASCAT	ASCAT	ASCAT	METOP-2 (Metop-A)	-1
11001	METOP-A IASI Radiances	IASI	Satellite Sounding	IASI	SATEM	Radiances	IASI	IASI	METOP-2 (Metop-A)	-1
21007	METOP-A AMSUA Radiances All-sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	METOP-2 (Metop-A)	-1
5024	METOP-A IASI Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-2 (Metop-A)	-1
35004	METOP-A GOME-2 layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
35005	METOP-A IASI layer volumetric mixing ratio with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer volumetric mixing ratio with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-2 (Metop-A)	-1
35007	METOP-A IASI layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-2 (Metop-A)	-1
5037	METOP-A GOME-2 MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
5047	METOP-A GOME-2 Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-2 (Metop-A)	-1
