id	description	group	bufrtype	subtype	obstype	codetype
16029	AMDAR	CONV	AIREP	AMDAR	AIREP	AMDAR
16030	ACARS	CONV	AIREP	ACARS	AIREP	ACARS
16031	PAOB	CONV	PAOB	PAOB	PAOB	PAOB
16032	PAOB via Sat code	CONV	Satellite Sounding	PAOB	PAOB	PAOB
16037	SATEM 500km Low Level Temperature	CONV	Satellite Sounding	500km Low Level Temperature	SATEM	SATEM
16038	SATEM 500km PWC	CONV	Satellite Sounding	500km PWC	SATEM	SATEM
16039	SATEM 500km High Level Temperature	CONV	Satellite Sounding	500km High Level Temperature	SATEM	SATEM
16040	SATEM 500km Merged	CONV	Satellite Sounding	500km Merged	SATEM	SATEM
16041	SATEM 250km Low Level Temperature	CONV	Satellite Sounding	250km Low Level Temperature	SATEM	SATEM
16042	SATEM 250km PWC	CONV	Satellite Sounding	250km PWC	SATEM	SATEM
16043	SATEM 250km High Level Temperature	CONV	Satellite Sounding	250km High Level Temperature	SATEM	SATEM
16044	SATEM 250km Merged	CONV	Satellite Sounding	250km Merged	SATEM	SATEM
16084	BUFR DRIFTING BUOYS	CONV	Sea Surface	BUFR DRIFTING BUOYS	BUOY	BUFR DRIFTING BUOYS
16083	BUFR MOORED BUOYS	CONV	Sea Surface	BUFR MOORED BUOYS	BUOY	BUFR MOORED BUOYS
16082	WIGOS AMDAR	CONV	AIREP	WIGOS AMDAR	AIREP	WIGOS AMDAR
16074	BUFR SHIP SYNOP	CONV	Sea Surface	BUFR SHIP SYNOP	SYNOP	BUFR SHIP SYNOP
16069	BUFR SHIP PILOT	CONV	Upper Air Sounding	BUFR SHIP PILOT	PILOT	BUFR SHIP PILOT
16068	BUFR LAND PILOT	CONV	Upper Air Sounding	BUFR LAND PILOT	PILOT	BUFR LAND PILOT
16065	Automatic METAR	CONV	Land Surface	AUTO METAR	SYNOP	METAR
16045	BUFR LAND TEMP	CONV	Upper Air Sounding	Land High Resolution Temp	TEMP	Land High Resolution Temp
16046	BUFR SHIP TEMP	CONV	Upper Air Sounding	SHIP High Resolution TEMP	TEMP	SHIP High Resolution TEMP
16066	TAMDAR	CONV	AIREP	TAMDAR	AIREP	TAMDAR
25001	Ground-Based Radar	GBRAD	Ground-based radar	Radar rain rate	Ground-based weather radar	Radar Rain Rates
16067	ACARs with mixing ratio	CONV	AIREP	ACARs with mixing ratio	AIREP	ACARs with mixing ratio
16025	Additional Land Surface Data	CONV	Land Surface	SNOW DEPTH	SYNOP	Additional Land Surface Data
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP	SYNOP	BUFR LAND SYNOP
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP 2	SYNOP	BUFR LAND SYNOP
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP WMO Region 6	SYNOP	BUFR LAND SYNOP
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP 1 HOURLY	SYNOP	BUFR LAND SYNOP 1 HOURLY
16086	BUFR TEMP DROP	CONV	Upper Air Sounding	BUFR TEMP DROP	TEMP	BUFR TEMP DROP
16087	BUFR TEMP DESCENT	CONV	Upper Air Sounding	BUFR TEMP DESCENT	TEMP	BUFR TEMP DESCENT
16088	Mode-S	CONV	AIREP	Mode-S	AIREP	Mode-S
16089	ADS-C	CONV	AIREP	ADS-C	AIREP	ADS-C
16090	Crowd AWS	CONV	Land Surface	Crowd AWS	SYNOP	Crowd AWS
