id	description	group	bufrtype	subtype	obstype	codetype	sensor	satellite_instrument	satellite_identifier
5089	METOP-C IASI Layer integrated mass density	RESAT	Satellite Sounding	Layer integrated mass density	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-3 (Metop-C)
35019	METOP-C GOME-2 layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	GOME-2	GOME-2	METOP-3 (Metop-C)
35018	METOP-C IASI layer integrated mass density with averaging kernels and a priori profile	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels and a priori profile	SATEM	Retrieved Atmospheric Constituents	IASI	IASI	METOP-3 (Metop-C)
11003	METOP-C IASI Radiances	IASI	Satellite Sounding	IASI	SATEM	Radiances	IASI	IASI	METOP-3 (Metop-C)
1010	METOP-C AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	METOP-3 (Metop-C)
21010	METOP-C AMSUA Radiances All-Sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	METOP-3 (Metop-C)
3005	METOP-C MHS Radiances	MHS	Satellite Sounding	ATOVS	SATEM	Radiances	MHS	MHS	METOP-3 (Metop-C)
7019	METOP-C GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GRAS	GRAS	METOP-3 (Metop-C)
44005	MHS METOP-C MHS Radiances All-sky	MHS All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	MHS	MHS	METOP-3 (Metop-C)
7002	CHAMP GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	GPS	CHAMP GPS sounder	CHAMP
7010	TerraSAR-X GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	TerraSAR-X
7015	TanDEM-X GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	TanDEM-X
7023	PAZ GPSRO	GPSRO	Satellite Sounding	GPS Radio Occultation	Limb	GPS Radio Occultation	IGOR	IGOR	PAZ
18001	SMOS	SMOS	SMOS	SMOS	SATEM	SMOS	MIRAS	MIRAS	SMOS
45001	AEOLUS HLOS Wind Level 2B	Doppler Wind Lidar	Upper Air Sounding	Aeolus L2B wind lidar	LIDAR	Doppler Wind Lidar	MISSING	ALADIN	AEOLUS
4020	METEOSAT 4 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 4
4017	METEOSAT 5 GEOS Radiances	GEOS	SATOB	GEOS Radiances	SATEM	Radiances	MVIRI	MVIRI	METEOSAT 5
